Cible;Nb de panneaux;Commentaire;Ra_Telescopius;Ra;Dec
SNR M81 - M82;2;;9,643;144,645;69,965
M8;3;;18,045;270,675;-23,583
Grand Champ Sorcier;3;;22,788;341,817;58,125
Helix nebula;1;;22,494;337,41;-20,837
Nebuleuse du cone;6;;6,681;100,217;9,877
SH2-216;1;;4,723;70,839;46,702
Cygne_2026 (LDN 910);8;;20,327;304,901;45,333
M67 et Ha;1;Le Ha ressort tres peu;8,856;132,846;11,814
LoTR5;1;Champ de debut de printemps débuté pous shooter malgré la lune;12,873;193,095;25,775
M17;4;Backup Ha au sud si lune ;18,28;274,2;-18,55
